TSC Code,Sector,TSC_CCS Category,TSC_CCS Title,TSC_CCS Description,TSC_CCS Type,Latest Update Date
AGR-TEM-3004-1.1,Agrifood,Technology Management,Internet of Things Management,"Interrelate computing devices, equipment and machines' data in a networked environment to provide specific solutions",tsc,2024-12-16
AGR-TEM-5036-1.1,Agrifood,Technology Management,Smart Farming Technology Implementation,"Strategise, integrate and deploy emerging agriculture and/or aquaculture technology to streamline farming processes and operation practices,  maximise productivity and achieve sustainable food production",tsc,2024-12-16
AGR-TEM-3036-1.1,Agrifood,Technology Management,Smart Farming Technology Implementation,"Strategise, integrate and deploy emerging agriculture and/or aquaculture technology to streamline farming processes and operation practices,  maximise productivity and achieve sustainable food production",tsc,2024-12-16
AGR-TEM-4036-1.1,Agrifood,Technology Management,Smart Farming Technology Implementation,"Strategise, integrate and deploy emerging agriculture and/or aquaculture technology to streamline farming processes and operation practices,  maximise productivity and achieve sustainable food production",tsc,2024-12-16
AGR-WSH-2014-1.1,Agrifood,Workplace Safety and Health,"Hazards and Risk Control, and Policy Management",Ensure a systematic and objective approach for hazards identification and risk assessment to effectively manage the hazards that may occur within the workplace,tsc,2024-12-16
AGR-WSH-4014-1.1,Agrifood,Workplace Safety and Health,"Hazards and Risk Control, and Policy Management",Ensure a systematic and objective approach for hazards identification and risk assessment to effectively manage the hazards that may occur within the workplace,tsc,2024-12-16
AGR-WSH-3014-1.1,Agrifood,Workplace Safety and Health,"Hazards and Risk Control, and Policy Management",Ensure a systematic and objective approach for hazards identification and risk assessment to effectively manage the hazards that may occur within the workplace,tsc,2024-12-16
AGR-LDR-4001-1.1,Agrifood,Workplace Safety and Health,Risk Management and Administration,"Identify, assess and prioritise risks and apply resources to mitigate risks and impact of incidents",tsc,2024-12-16
AGR-LDR-3001-1.1,Agrifood,Workplace Safety and Health,Risk Management and Administration,"Identify, assess and prioritise risks and apply resources to mitigate risks and impact of incidents",tsc,2024-12-16
AGR-LDR-5001-1.1,Agrifood,Workplace Safety and Health,Risk Management and Administration,"Identify, assess and prioritise risks and apply resources to mitigate risks and impact of incidents",tsc,2024-12-16
AGR-WSH-4051-1.1,Agrifood,Workplace Safety and Health,Workplace Safety and Health Performance Management,Implement workplace safety and health (WSH) practices in accordance with legislative requirements,tsc,2024-12-16
AGR-WSH-2051-1.1,Agrifood,Workplace Safety and Health,Workplace Safety and Health Performance Management,Implement workplace safety and health (WSH) practices in accordance with legislative requirements,tsc,2024-12-16
AGR-WSH-5051-1.1,Agrifood,Workplace Safety and Health,Workplace Safety and Health Performance Management,Implement workplace safety and health (WSH) practices in accordance with legislative requirements,tsc,2024-12-16
ATP-ACO-4001-1.1,Air Transport,Aircraft Operations,Aircraft Cruise Operations,"Monitor aircraft systems, performance and external environments as well as comply with Air Traffic Control (ATC) instructions and en route navigation requirements to ensure safe and optimal flight conditions",tsc,2024-12-16
ATP-ACO-5001-1.1,Air Transport,Aircraft Operations,Aircraft Cruise Operations,"Monitor aircraft systems, performance and external environments as well as comply with Air Traffic Control (ATC) instructions and en route navigation requirements to ensure safe and optimal flight conditions",tsc,2024-12-16
ATP-ACO-4002-1.1,Air Transport,Aircraft Operations,Aircraft Dispatch,Review flight dispatch documents to identify dispatch issues and determine mission continuance,tsc,2024-12-16
ATP-ACO-5002-1.1,Air Transport,Aircraft Operations,Aircraft Dispatch,Review flight dispatch documents to identify dispatch issues and determine mission continuance,tsc,2024-12-16
ATP-ACO-4003-1.1,Air Transport,Aircraft Operations,Aircraft Emergency Management,Command and control aircraft during emergency situations in accordance with Safety and Emergency Procedures (SEP),tsc,2024-12-16
ATP-ACO-5003-1.1,Air Transport,Aircraft Operations,Aircraft Emergency Management,Command and control aircraft during emergency situations in accordance with Safety and Emergency Procedures (SEP),tsc,2024-12-16
ATP-ACO-4004-1.1,Air Transport,Aircraft Operations,Aircraft Landing Operations,"Initiate aircraft descent, approach and landing in accordance with procedures and Air Traffic Control (ATC) instructions to ensure safe landing within the runway environment",tsc,2024-12-16
ATP-ACO-5004-1.1,Air Transport,Aircraft Operations,Aircraft Landing Operations,"Initiate aircraft descent, approach and landing in accordance with procedures and Air Traffic Control (ATC) instructions to ensure safe landing within the runway environment",tsc,2024-12-16
ATP-ACO-5005-1.1,Air Transport,Aircraft Operations,Aircraft Manual Handling,Operate aircraft to ensure smooth and safe handling during all phases of flights,tsc,2024-12-16
ATP-ACO-4005-1.1,Air Transport,Aircraft Operations,Aircraft Manual Handling,Operate aircraft to ensure smooth and safe handling during all phases of flights,tsc,2024-12-16
ATP-ACO-3006-1.1,Air Transport,Aircraft Operations,Aircraft Performance Management,Conduct post-flight analysis to develop optimal flight performance parameters,tsc,2024-12-16
ATP-ACO-2006-1.1,Air Transport,Aircraft Operations,Aircraft Performance Management,Conduct post-flight analysis to develop optimal flight performance parameters,tsc,2024-12-16
ATP-ACO-4006-1.1,Air Transport,Aircraft Operations,Aircraft Performance Management,Conduct post-flight analysis to develop optimal flight performance parameters,tsc,2024-12-16
ATP-ACO-1006-1-1,Air Transport,Aircraft Operations,Aircraft Performance Management,Conduct post-flight analysis to develop optimal flight performance parameters,tsc,2024-12-16
ATP-ACO-5006-1.1,Air Transport,Aircraft Operations,Aircraft Performance Management,Conduct post-flight analysis to develop optimal flight performance parameters,tsc,2024-12-16
ATP-ACO-4007-1.1,Air Transport,Aircraft Operations,Aircraft Take-Off Operations,Perform take-off roll in accordance with Standard Operating Procedures (SOPs) to ensure take-off operations,tsc,2024-12-16
ATP-ACO-5007-1.1,Air Transport,Aircraft Operations,Aircraft Take-Off Operations,Perform take-off roll in accordance with Standard Operating Procedures (SOPs) to ensure take-off operations,tsc,2024-12-16
ATP-ACO-4008-1.1,Air Transport,Aircraft Operations,Flight Deck Communications,"Communicate with Air Traffic Control (ATC), flight crew members and ground personnel using Crew Resource Management (CRM) techniques",tsc,2024-12-16
ATP-ACO-4009-1.1,Air Transport,Aircraft Operations,Post-Landing Operations,Taxi aircraft from runways to parking stands and operate aircraft systems for shut-down,tsc,2024-12-16
ATP-ACO-4010-1.1,Air Transport,Aircraft Operations,Pre-Flight Preparation,Prepare aircraft for flights by ensuring proper configuration of aircraft for take-offs and safe environmental and flight conditions,tsc,2024-12-16
ATP-ALO-1001-1.1,Air Transport,Airline Operations,Airline Crew Scheduling,Manage crew requirements through efficient crew scheduling,tsc,2024-12-16
ATP-ALO-2001-1.1,Air Transport,Airline Operations,Airline Crew Scheduling,Manage crew requirements through efficient crew scheduling,tsc,2024-12-16
ATP-ALO-3001-1.1,Air Transport,Airline Operations,Airline Crew Scheduling,Manage crew requirements through efficient crew scheduling,tsc,2024-12-16
ATP-ALO-6002-1.1,Air Transport,Airline Operations,Airline Operations Management,Execute and manage operational activities to contribute to the commercial success of airlines,tsc,2024-12-16
ATP-ALO-5002-1.1,Air Transport,Airline Operations,Airline Operations Management,Execute and manage operational activities to contribute to the commercial success of airlines,tsc,2024-12-16
ATP-ALO-2002-1.1,Air Transport,Airline Operations,Airline Operations Management,Execute and manage operational activities to contribute to the commercial success of airlines,tsc,2024-12-16
ATP-ALO-4002-1.1,Air Transport,Airline Operations,Airline Operations Management,Execute and manage operational activities to contribute to the commercial success of airlines,tsc,2024-12-16
ATP-ALO-3002-1.1,Air Transport,Airline Operations,Airline Operations Management,Execute and manage operational activities to contribute to the commercial success of airlines,tsc,2024-12-16
ATP-ALO-2003-1.1,Air Transport,Airline Operations,Airline Representation and Station Management,Enforce ground service standards of airlines through monitoring ground service activities and building partnerships with ground handling agents,tsc,2024-12-16
ATP-ALO-4003-1.1,Air Transport,Airline Operations,Airline Representation and Station Management,Enforce ground service standards of airlines through monitoring ground service activities and building partnerships with ground handling agents,tsc,2024-12-16
ATP-ALO-3003-1.1,Air Transport,Airline Operations,Airline Representation and Station Management,Enforce ground service standards of airlines through monitoring ground service activities and building partnerships with ground handling agents,tsc,2024-12-16
ATP-ALO-1004-1.1,Air Transport,Airline Operations,Flight Disruptions and Irregular Operations Management,Execute and develop plans to manage flight disruptions and irregular airline operations,tsc,2024-12-16
ATP-ALO-2004-1.1,Air Transport,Airline Operations,Flight Disruptions and Irregular Operations Management,Execute and develop plans to manage flight disruptions and irregular airline operations,tsc,2024-12-16
ATP-ALO-5004-1.1,Air Transport,Airline Operations,Flight Disruptions and Irregular Operations Management,Execute and develop plans to manage flight disruptions and irregular airline operations,tsc,2024-12-16
ATP-ALO-6004-1.1,Air Transport,Airline Operations,Flight Disruptions and Irregular Operations Management,Execute and develop plans to manage flight disruptions and irregular airline operations,tsc,2024-12-16
ATP-ALO-3004-1.1,Air Transport,Airline Operations,Flight Disruptions and Irregular Operations Management,Execute and develop plans to manage flight disruptions and irregular airline operations,tsc,2024-12-16
ATP-ALO-4004-1.1,Air Transport,Airline Operations,Flight Disruptions and Irregular Operations Management,Execute and develop plans to manage flight disruptions and irregular airline operations,tsc,2024-12-16
ATP-ALO-4005-1.1,Air Transport,Airline Operations,Ground Services Training Delivery,Manage the delivery of ground services training to ensure adherence to Standard Operating Procedures (SOPs) and Service Level Agreements (SLAs) of airlines,tsc,2024-12-16
ATP-ALO-3005-1.1,Air Transport,Airline Operations,Ground Services Training Delivery,Manage the delivery of ground services training to ensure adherence to Standard Operating Procedures (SOPs) and Service Level Agreements (SLAs) of airlines,tsc,2024-12-16
ATP-ALO-2005-1.1,Air Transport,Airline Operations,Ground Services Training Delivery,Manage the delivery of ground services training to ensure adherence to Standard Operating Procedures (SOPs) and Service Level Agreements (SLAs) of airlines,tsc,2024-12-16
ATP-ALO-3006-1.1,Air Transport,Airline Operations,Service Branding and Coaching,Execute service brand guidelines and drive strategies to enhance the organisation's service brands and value propositions,tsc,2024-12-16
ATP-ALO-2006-1.1,Air Transport,Airline Operations,Service Branding and Coaching,Execute service brand guidelines and drive strategies to enhance the organisation's service brands and value propositions,tsc,2024-12-16
ATP-ALO-4006-1.1,Air Transport,Airline Operations,Service Branding and Coaching,Execute service brand guidelines and drive strategies to enhance the organisation's service brands and value propositions,tsc,2024-12-16
ATP-ALO-5006-1.1,Air Transport,Airline Operations,Service Branding and Coaching,Execute service brand guidelines and drive strategies to enhance the organisation's service brands and value propositions,tsc,2024-12-16
ATP-ALO-5007-1.1,Air Transport,Airline Operations,Service Level Agreement Management,"Assess performance of ground handling agents and form partnerships to deliver efficient ground handling, customer and passenger services",tsc,2024-12-16
ATP-ALO-4007-1.1,Air Transport,Airline Operations,Service Level Agreement Management,"Assess performance of ground handling agents and form partnerships to deliver efficient ground handling, customer and passenger services",tsc,2024-12-16
ATP-ALO-2007-1.1,Air Transport,Airline Operations,Service Level Agreement Management,"Assess performance of ground handling agents and form partnerships to deliver efficient ground handling, customer and passenger services",tsc,2024-12-16
ATP-ALO-3007-1.1,Air Transport,Airline Operations,Service Level Agreement Management,"Assess performance of ground handling agents and form partnerships to deliver efficient ground handling, customer and passenger services",tsc,2024-12-16
ATP-ALO-6007-1.1,Air Transport,Airline Operations,Service Level Agreement Management,"Assess performance of ground handling agents and form partnerships to deliver efficient ground handling, customer and passenger services",tsc,2024-12-16
ATP-APE-3001-1.1,Air Transport,Airport Engineering,Airfield Civil Infrastructure Maintenance and Design,Maintain and enhance airfield civil infrastructure to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-5001-1.1,Air Transport,Airport Engineering,Airfield Civil Infrastructure Maintenance and Design,Maintain and enhance airfield civil infrastructure to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-4001-1.1,Air Transport,Airport Engineering,Airfield Civil Infrastructure Maintenance and Design,Maintain and enhance airfield civil infrastructure to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-6001-1.1,Air Transport,Airport Engineering,Airfield Civil Infrastructure Maintenance and Design,Maintain and enhance airfield civil infrastructure to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-2001-1.1,Air Transport,Airport Engineering,Airfield Civil Infrastructure Maintenance and Design,Maintain and enhance airfield civil infrastructure to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-6002-1.1,Air Transport,Airport Engineering,Airfield Specialised Systems Maintenance and Design,Maintain and enhance airfield specialised systems to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-5002-1.1,Air Transport,Airport Engineering,Airfield Specialised Systems Maintenance and Design,Maintain and enhance airfield specialised systems to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-2002-1.1,Air Transport,Airport Engineering,Airfield Specialised Systems Maintenance and Design,Maintain and enhance airfield specialised systems to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-4002-1.1,Air Transport,Airport Engineering,Airfield Specialised Systems Maintenance and Design,Maintain and enhance airfield specialised systems to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-3002-1.1,Air Transport,Airport Engineering,Airfield Specialised Systems Maintenance and Design,Maintain and enhance airfield specialised systems to meet operational requirements of the airports,tsc,2024-12-16
ATP-APE-2003-1.1,Air Transport,Airport Engineering,Airport Infrastructure and Facilities Maintenance and Design,Maintain and enhance airport infrastructure and facilities to meet operational and service standards of the airports,tsc,2024-12-16
ATP-APE-3003-1.1,Air Transport,Airport Engineering,Airport Infrastructure and Facilities Maintenance and Design,Maintain and enhance airport infrastructure and facilities to meet operational and service standards of the airports,tsc,2024-12-16
ATP-APE-5003-1.1,Air Transport,Airport Engineering,Airport Infrastructure and Facilities Maintenance and Design,Maintain and enhance airport infrastructure and facilities to meet operational and service standards of the airports,tsc,2024-12-16
ATP-APE-4003-1.1,Air Transport,Airport Engineering,Airport Infrastructure and Facilities Maintenance and Design,Maintain and enhance airport infrastructure and facilities to meet operational and service standards of the airports,tsc,2024-12-16
ATP-APE-6003-1.1,Air Transport,Airport Engineering,Airport Infrastructure and Facilities Maintenance and Design,Maintain and enhance airport infrastructure and facilities to meet operational and service standards of the airports,tsc,2024-12-16
ATP-APE-3004-1.1,Air Transport,Airport Engineering,Engineering Contract Management,"Analyse and develop tender requirements to define engineering contract structures, terms and financials",tsc,2024-12-16
ATP-APE-4004-1.1,Air Transport,Airport Engineering,Engineering Contract Management,"Analyse and develop tender requirements to define engineering contract structures, terms and financials",tsc,2024-12-16
ATP-APE-6004-1.1,Air Transport,Airport Engineering,Engineering Contract Management,"Analyse and develop tender requirements to define engineering contract structures, terms and financials",tsc,2024-12-16
ATP-APE-2004-1.1,Air Transport,Airport Engineering,Engineering Contract Management,"Analyse and develop tender requirements to define engineering contract structures, terms and financials",tsc,2024-12-16
ATP-APE-5004-1.1,Air Transport,Airport Engineering,Engineering Contract Management,"Analyse and develop tender requirements to define engineering contract structures, terms and financials",tsc,2024-12-16
ATP-APE-2005-1.1,Air Transport,Airport Engineering,Engineering Project Management,"Manage engineering projects and work areas by setting objectives, project plans, methodologies and timelines to ensure successful outcomes",tsc,2024-12-16
ATP-APE-4005-1.1,Air Transport,Airport Engineering,Engineering Project Management,"Manage engineering projects and work areas by setting objectives, project plans, methodologies and timelines to ensure successful outcomes",tsc,2024-12-16
ATP-APE-5005-1.1,Air Transport,Airport Engineering,Engineering Project Management,"Manage engineering projects and work areas by setting objectives, project plans, methodologies and timelines to ensure successful outcomes",tsc,2024-12-16
ATP-APE-6005-1.1,Air Transport,Airport Engineering,Engineering Project Management,"Manage engineering projects and work areas by setting objectives, project plans, methodologies and timelines to ensure successful outcomes",tsc,2024-12-16
ATP-APE-3005-1.1,Air Transport,Airport Engineering,Engineering Project Management,"Manage engineering projects and work areas by setting objectives, project plans, methodologies and timelines to ensure successful outcomes",tsc,2024-12-16
ATP-APE-5006-1.1,Air Transport,Airport Engineering,Engineering Safety and Security Standards,Design and execute safety and security policies to promote safe working environments for engineering projects,tsc,2024-12-16
ATP-APE-4006-1.1,Air Transport,Airport Engineering,Engineering Safety and Security Standards,Design and execute safety and security policies to promote safe working environments for engineering projects,tsc,2024-12-16
ATP-APE-2006-1.1,Air Transport,Airport Engineering,Engineering Safety and Security Standards,Design and execute safety and security policies to promote safe working environments for engineering projects,tsc,2024-12-16
ATP-APE-3006-1.1,Air Transport,Airport Engineering,Engineering Safety and Security Standards,Design and execute safety and security policies to promote safe working environments for engineering projects,tsc,2024-12-16
ATP-APE-6006-1.1,Air Transport,Airport Engineering,Engineering Safety and Security Standards,Design and execute safety and security policies to promote safe working environments for engineering projects,tsc,2024-12-16
ATP-APE-5007-1.1,Air Transport,Airport Engineering,Engineering Standards Audit and Assessment,Assess engineering project documentation and outcomes to ensure compliance with established standards,tsc,2024-12-16
ATP-APE-2007-1.1,Air Transport,Airport Engineering,Engineering Standards Audit and Assessment,Assess engineering project documentation and outcomes to ensure compliance with established standards,tsc,2024-12-16
ATP-APE-3007-1.1,Air Transport,Airport Engineering,Engineering Standards Audit and Assessment,Assess engineering project documentation and outcomes to ensure compliance with established standards,tsc,2024-12-16
ATP-APE-4007-1.1,Air Transport,Airport Engineering,Engineering Standards Audit and Assessment,Assess engineering project documentation and outcomes to ensure compliance with established standards,tsc,2024-12-16
ATP-APO-5001-1.1,Air Transport,Airport Operations,Airport Audit and Compliance,Audit airport operations to ensure alignment with world-class airport standards,tsc,2024-12-16
ATP-APO-3001-1.1,Air Transport,Airport Operations,Airport Audit and Compliance,Audit airport operations to ensure alignment with world-class airport standards,tsc,2024-12-16
ATP-APO-4001-1.1,Air Transport,Airport Operations,Airport Audit and Compliance,Audit airport operations to ensure alignment with world-class airport standards,tsc,2024-12-16
ATP-APO-5002-1.1,Air Transport,Airport Operations,Airport Collaborative Decision Making Model Application,"Utilise the Airport Collaborative Decision Making (A-CDM) model to enhance airport operations and optimise the capacity of runways, terminals, gates and airspace",tsc,2024-12-16
ATP-APO-6002-1.1,Air Transport,Airport Operations,Airport Collaborative Decision Making Model Application,"Utilise the Airport Collaborative Decision Making (A-CDM) model to enhance airport operations and optimise the capacity of runways, terminals, gates and airspace",tsc,2024-12-16
ATP-APO-4002-1.1,Air Transport,Airport Operations,Airport Collaborative Decision Making Model Application,"Utilise the Airport Collaborative Decision Making (A-CDM) model to enhance airport operations and optimise the capacity of runways, terminals, gates and airspace",tsc,2024-12-16
ATP-APO-3002-1.1,Air Transport,Airport Operations,Airport Collaborative Decision Making Model Application,"Utilise the Airport Collaborative Decision Making (A-CDM) model to enhance airport operations and optimise the capacity of runways, terminals, gates and airspace",tsc,2024-12-16
ATP-APO-3003-1.1,Air Transport,Airport Operations,Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,2024-12-16
ATP-APO-6003-1.1,Air Transport,Airport Operations,Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,2024-12-16
ATP-APO-5003-1.1,Air Transport,Airport Operations,Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,2024-12-16
ATP-APO-2003-1.1,Air Transport,Airport Operations,Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,2024-12-16
ATP-APO-1003-1.1,Air Transport,Airport Operations,Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,2024-12-16
ATP-APO-4003-1.1,Air Transport,Airport Operations,Airport Operations Management,"Manage interconnected airport functions including aircraft operations, airside activities and landside maintenance",tsc,2024-12-16
ATP-APO-6004-1.1,Air Transport,Airport Operations,Airport Service Quality Management,Implement and drive improvements in service quality standards at the airports,tsc,2024-12-16
ATP-APO-5004-1.1,Air Transport,Airport Operations,Airport Service Quality Management,Implement and drive improvements in service quality standards at the airports,tsc,2024-12-16
ATP-APO-3004-1.1,Air Transport,Airport Operations,Airport Service Quality Management,Implement and drive improvements in service quality standards at the airports,tsc,2024-12-16
ATP-APO-4004-1.1,Air Transport,Airport Operations,Airport Service Quality Management,Implement and drive improvements in service quality standards at the airports,tsc,2024-12-16
ATP-APO-4005-1.1,Air Transport,Airport Operations,Passenger Information Systems Management,Implement and manage effective Passenger Information Systems (PIS) to provide relevant and timely information to passengers and members of the public,tsc,2024-12-16
ATP-APO-6005-1.1,Air Transport,Airport Operations,Passenger Information Systems Management,Implement and manage effective Passenger Information Systems (PIS) to provide relevant and timely information to passengers and members of the public,tsc,2024-12-16
ATP-APO-3005-1.1,Air Transport,Airport Operations,Passenger Information Systems Management,Implement and manage effective Passenger Information Systems (PIS) to provide relevant and timely information to passengers and members of the public,tsc,2024-12-16
ATP-APO-5005-1.1,Air Transport,Airport Operations,Passenger Information Systems Management,Implement and manage effective Passenger Information Systems (PIS) to provide relevant and timely information to passengers and members of the public,tsc,2024-12-16
ATP-APO-6006-1.1,Air Transport,Airport Operations,Passenger Movement Management,Manage passenger movements to enable efficient and smooth airport operations,tsc,2024-12-16
ATP-APO-5006-1.1,Air Transport,Airport Operations,Passenger Movement Management,Manage passenger movements to enable efficient and smooth airport operations,tsc,2024-12-16
ATP-APO-3006-1.1,Air Transport,Airport Operations,Passenger Movement Management,Manage passenger movements to enable efficient and smooth airport operations,tsc,2024-12-16
ATP-APO-4006-1.1,Air Transport,Airport Operations,Passenger Movement Management,Manage passenger movements to enable efficient and smooth airport operations,tsc,2024-12-16
ATP-ASO-4001-1.1,Air Transport,Airside Operations,Airside Driving,Operate vehicles at the airside and verify functionality of vehicles,tsc,2024-12-16
ATP-ASO-2001-1.1,Air Transport,Airside Operations,Airside Driving,Operate vehicles at the airside and verify functionality of vehicles,tsc,2024-12-16
ATP-ASO-1001-1.1,Air Transport,Airside Operations,Airside Driving,Operate vehicles at the airside and verify functionality of vehicles,tsc,2024-12-16
ATP-ASO-3001-1.1,Air Transport,Airside Operations,Airside Driving,Operate vehicles at the airside and verify functionality of vehicles,tsc,2024-12-16
ATP-ASO-3002-1.1,Air Transport,Airside Operations,Airside Operations Management,Plan and coordinate airside operational activities to ensure compliance with airside safety standards,tsc,2024-12-16
ATP-ASO-5002-1.1,Air Transport,Airside Operations,Airside Operations Management,Plan and coordinate airside operational activities to ensure compliance with airside safety standards,tsc,2024-12-16
ATP-ASO-6002-1.1,Air Transport,Airside Operations,Airside Operations Management,Plan and coordinate airside operational activities to ensure compliance with airside safety standards,tsc,2024-12-16
ATP-ASO-4002-1.1,Air Transport,Airside Operations,Airside Operations Management,Plan and coordinate airside operational activities to ensure compliance with airside safety standards,tsc,2024-12-16
ATP-ASO-4003-1.1,Air Transport,Airside Operations,Runway Safety,"Ensure safe airside operations to prevent runway incursions, excursions and confusions",tsc,2024-12-16
ATP-ASO-3003-1.1,Air Transport,Airside Operations,Runway Safety,"Ensure safe airside operations to prevent runway incursions, excursions and confusions",tsc,2024-12-16
ATP-ASO-6003-1.1,Air Transport,Airside Operations,Runway Safety,"Ensure safe airside operations to prevent runway incursions, excursions and confusions",tsc,2024-12-16
ATP-ASO-5003-1.1,Air Transport,Airside Operations,Runway Safety,"Ensure safe airside operations to prevent runway incursions, excursions and confusions",tsc,2024-12-16
ATP-ASO-5004-1.1,Air Transport,Airside Operations,Wildlife Hazard Management,Manage wildlife within and around the airports to prevent wildlife strikes,tsc,2024-12-16
ATP-ASO-3004-1.1,Air Transport,Airside Operations,Wildlife Hazard Management,Manage wildlife within and around the airports to prevent wildlife strikes,tsc,2024-12-16
ATP-ASO-4004-1.1,Air Transport,Airside Operations,Wildlife Hazard Management,Manage wildlife within and around the airports to prevent wildlife strikes,tsc,2024-12-16
ATP-LDR-5001-1.1,Air Transport,Business Management,Business Development,Identify new business opportunities to meet commercial objectives of the organisation,tsc,2024-12-16
ATP-LDR-4001-1.1,Air Transport,Business Management,Business Development,Identify new business opportunities to meet commercial objectives of the organisation,tsc,2024-12-16
ATP-LDR-6001-1.1,Air Transport,Business Management,Business Development,Identify new business opportunities to meet commercial objectives of the organisation,tsc,2024-12-16
ATP-LDR-3001-1.1,Air Transport,Business Management,Business Development,Identify new business opportunities to meet commercial objectives of the organisation,tsc,2024-12-16
ATP-LDR-4002-1.1,Air Transport,Business Management,Business Negotiation,Engage in negotiations to reach and create outcomes which support the commercial objectives of the organisation,tsc,2024-12-16
ATP-LDR-5002-1.1,Air Transport,Business Management,Business Negotiation,Engage in negotiations to reach and create outcomes which support the commercial objectives of the organisation,tsc,2024-12-16
ATP-LDR-6002-1.1,Air Transport,Business Management,Business Negotiation,Engage in negotiations to reach and create outcomes which support the commercial objectives of the organisation,tsc,2024-12-16
ATP-LDR-4003-1.1,Air Transport,Business Management,Crisis Communication and Media Management,Manage communications with the media and/or relevant stakeholders during crises to maintain a positive image of the organisation,tsc,2024-12-16
ATP-LDR-3003-1.1,Air Transport,Business Management,Crisis Communication and Media Management,Manage communications with the media and/or relevant stakeholders during crises to maintain a positive image of the organisation,tsc,2024-12-16
ATP-LDR-5003-1.1,Air Transport,Business Management,Crisis Communication and Media Management,Manage communications with the media and/or relevant stakeholders during crises to maintain a positive image of the organisation,tsc,2024-12-16
ATP-LDR-3004-1.1,Air Transport,Business Management,Financial Planning and Budget Management,"Maximise cost efficiency of organisational operations through financial planning, budget management and optimisation of operations",tsc,2024-12-16
ATP-LDR-4004-1.1,Air Transport,Business Management,Financial Planning and Budget Management,"Maximise cost efficiency of organisational operations through financial planning, budget management and optimisation of operations",tsc,2024-12-16
ATP-LDR-5004-1.1,Air Transport,Business Management,Financial Planning and Budget Management,"Maximise cost efficiency of organisational operations through financial planning, budget management and optimisation of operations",tsc,2024-12-16
ATP-LDR-5005-1.1,Air Transport,Business Management,Human Factors Management,Identify and mitigate risks of aviation incidents and/or accidents caused by human factors,tsc,2024-12-16
ATP-LDR-2005-1.1,Air Transport,Business Management,Human Factors Management,Identify and mitigate risks of aviation incidents and/or accidents caused by human factors,tsc,2024-12-16
ATP-LDR-6005-1.1,Air Transport,Business Management,Human Factors Management,Identify and mitigate risks of aviation incidents and/or accidents caused by human factors,tsc,2024-12-16
ATP-LDR-3005-1.1,Air Transport,Business Management,Human Factors Management,Identify and mitigate risks of aviation incidents and/or accidents caused by human factors,tsc,2024-12-16
ATP-LDR-1005-1.1,Air Transport,Business Management,Human Factors Management,Identify and mitigate risks of aviation incidents and/or accidents caused by human factors,tsc,2024-12-16
ATP-LDR-4005-1.1,Air Transport,Business Management,Human Factors Management,Identify and mitigate risks of aviation incidents and/or accidents caused by human factors,tsc,2024-12-16
ATP-LDR-6006-1.1,Air Transport,Business Management,Stakeholder Management,Plan and implement strategies to build and manage constructive and positive relationships with stakeholders,tsc,2024-12-16
ATP-LDR-3006-1.1,Air Transport,Business Management,Stakeholder Management,Plan and implement strategies to build and manage constructive and positive relationships with stakeholders,tsc,2024-12-16
ATP-LDR-2006-1.1,Air Transport,Business Management,Stakeholder Management,Plan and implement strategies to build and manage constructive and positive relationships with stakeholders,tsc,2024-12-16
ATP-LDR-1006-1.1,Air Transport,Business Management,Stakeholder Management,Plan and implement strategies to build and manage constructive and positive relationships with stakeholders,tsc,2024-12-16
ATP-LDR-5006-1.1,Air Transport,Business Management,Stakeholder Management,Plan and implement strategies to build and manage constructive and positive relationships with stakeholders,tsc,2024-12-16
ATP-LDR-4006-1.1,Air Transport,Business Management,Stakeholder Management,Plan and implement strategies to build and manage constructive and positive relationships with stakeholders,tsc,2024-12-16
ATP-LDR-3007-1.1,Air Transport,Business Management,Standard Operating Procedures Development,Implement and develop Standard Operating Procedures (SOPs) and enforce compliance with SOPs,tsc,2024-12-16
ATP-LDR-5007-1.1,Air Transport,Business Management,Standard Operating Procedures Development,Implement and develop Standard Operating Procedures (SOPs) and enforce compliance with SOPs,tsc,2024-12-16
ATP-LDR-4007-1.1,Air Transport,Business Management,Standard Operating Procedures Development,Implement and develop Standard Operating Procedures (SOPs) and enforce compliance with SOPs,tsc,2024-12-16
ATP-CAO-3001-1.1,Air Transport,Cargo Operations,Air Cargo Operations Management,Manage and implement processes and activities to build and develop air cargo operations,tsc,2024-12-16
